Timestamp,CH1,CH2,Label,Phase
2651977,1899,1915,UP,Phase_6_Covert
2651981,1904,1922,UP,Phase_6_Covert
2651985,1907,1929,UP,Phase_6_Covert
2651989,1918,1936,UP,Phase_6_Covert
2651993,1936,1941,UP,Phase_6_Covert
2651997,1925,1936,UP,Phase_6_Covert
2652001,1922,1902,UP,Phase_6_Covert
2652005,1921,1904,UP,Phase_6_Covert
2652009,1925,1908,UP,Phase_6_Covert
2652013,1926,1911,UP,Phase_6_Covert
2652017,1923,1914,UP,Phase_6_Covert
2652021,1916,1922,UP,Phase_6_Covert
2652025,1925,1917,UP,Phase_6_Covert
2652029,1930,1914,UP,Phase_6_Covert
2652033,1935,1927,UP,Phase_6_Covert
2652037,1936,1916,UP,Phase_6_Covert
2652041,1936,1914,UP,Phase_6_Covert
2652045,1934,1914,UP,Phase_6_Covert
2652049,1936,1903,UP,Phase_6_Covert
2652053,1935,1904,UP,Phase_6_Covert
2652057,1935,1918,UP,Phase_6_Covert
2652061,1934,1925,UP,Phase_6_Covert
2652065,1933,1919,UP,Phase_6_Covert
2652069,1936,1903,UP,Phase_6_Covert
2652073,1943,1898,UP,Phase_6_Covert
2652077,1945,1900,UP,Phase_6_Covert
2652081,1931,1904,UP,Phase_6_Covert
2652085,1946,1895,UP,Phase_6_Covert
2652089,1933,1889,UP,Phase_6_Covert
2652093,1924,1882,UP,Phase_6_Covert
2652097,1925,1874,UP,Phase_6_Covert
2652101,1923,1874,UP,Phase_6_Covert
2652105,1921,1889,UP,Phase_6_Covert
2652109,1919,1917,UP,Phase_6_Covert
2652113,1933,1891,UP,Phase_6_Covert
2652117,1940,1867,UP,Phase_6_Covert
2652121,1937,1859,UP,Phase_6_Covert
2652125,1961,1851,UP,Phase_6_Covert
2652129,1937,1841,UP,Phase_6_Covert
2652133,1935,1839,UP,Phase_6_Covert
2652137,1931,1829,UP,Phase_6_Covert
2652141,1937,1819,UP,Phase_6_Covert
2652145,1946,1811,UP,Phase_6_Covert
2652149,1907,1808,UP,Phase_6_Covert
2652153,1878,1787,UP,Phase_6_Covert
2652157,1856,1769,UP,Phase_6_Covert
2652161,1823,1755,UP,Phase_6_Covert
2652165,1808,1771,UP,Phase_6_Covert
2652169,1825,1773,UP,Phase_6_Covert
2652173,1825,1744,UP,Phase_6_Covert
2652177,1840,1747,UP,Phase_6_Covert
2652181,1856,1757,UP,Phase_6_Covert
2652185,1841,1794,UP,Phase_6_Covert
2652189,1824,1801,UP,Phase_6_Covert
2652193,1824,1824,UP,Phase_6_Covert
2652197,1860,1801,UP,Phase_6_Covert
2652201,1920,1759,UP,Phase_6_Covert
2652205,1872,1761,UP,Phase_6_Covert
2652209,1808,1750,UP,Phase_6_Covert
2652213,1857,1733,UP,Phase_6_Covert
2652217,2000,1741,UP,Phase_6_Covert
2652221,2047,1785,UP,Phase_6_Covert
2652225,2015,1713,UP,Phase_6_Covert
2652229,1956,1717,UP,Phase_6_Covert
2652233,1904,1735,UP,Phase_6_Covert
2652237,1904,1719,UP,Phase_6_Covert
2652241,1920,1691,UP,Phase_6_Covert
2652245,1907,1744,UP,Phase_6_Covert
2652249,1843,1793,UP,Phase_6_Covert
2652253,1774,1795,UP,Phase_6_Covert
2652257,1811,1827,UP,Phase_6_Covert
2652261,1935,1793,UP,Phase_6_Covert
2652265,1991,1713,UP,Phase_6_Covert
2652269,1967,1674,UP,Phase_6_Covert
2652273,1937,1723,UP,Phase_6_Covert
2652277,1903,1773,UP,Phase_6_Covert
2652281,1823,1874,UP,Phase_6_Covert
2652285,1799,1918,UP,Phase_6_Covert
2652289,1871,1776,UP,Phase_6_Covert
2652293,1890,1648,UP,Phase_6_Covert
2652297,1909,1656,UP,Phase_6_Covert
2652301,1919,1738,UP,Phase_6_Covert
2652305,1883,1822,UP,Phase_6_Covert
2652309,1853,1842,UP,Phase_6_Covert
2652313,1879,1813,UP,Phase_6_Covert
2652317,1934,1855,UP,Phase_6_Covert
2652321,1915,1806,UP,Phase_6_Covert
2652325,1904,1739,UP,Phase_6_Covert
2652329,1897,1742,UP,Phase_6_Covert
2652333,1898,1776,UP,Phase_6_Covert
2652337,1891,1807,UP,Phase_6_Covert
2652341,1886,1876,UP,Phase_6_Covert
2652345,1873,1937,UP,Phase_6_Covert
2652349,1851,1941,UP,Phase_6_Covert
2652353,1836,1831,UP,Phase_6_Covert
2652357,1855,1771,UP,Phase_6_Covert
2652361,1872,1791,UP,Phase_6_Covert
2652365,1879,1838,UP,Phase_6_Covert
2652369,1872,1884,UP,Phase_6_Covert
2652373,1863,1901,UP,Phase_6_Covert
2652377,1859,1845,UP,Phase_6_Covert
2652381,1865,1839,UP,Phase_6_Covert
2652385,1861,1856,UP,Phase_6_Covert
2652389,1841,1935,UP,Phase_6_Covert
2652393,1866,1953,UP,Phase_6_Covert
2652397,1851,1920,UP,Phase_6_Covert
2652401,1862,1860,UP,Phase_6_Covert
2652405,1849,1817,UP,Phase_6_Covert
2652409,1845,1845,UP,Phase_6_Covert
2652413,1859,1867,UP,Phase_6_Covert
2652417,1870,1887,UP,Phase_6_Covert
2652421,1863,1904,UP,Phase_6_Covert
2652425,1884,1908,UP,Phase_6_Covert
2652429,1894,1986,UP,Phase_6_Covert
2652433,1903,2000,UP,Phase_6_Covert
2652437,1890,1943,UP,Phase_6_Covert
2652441,1873,1847,UP,Phase_6_Covert
2652445,1864,1778,UP,Phase_6_Covert
2652449,1867,1773,UP,Phase_6_Covert
2652453,1872,1853,UP,Phase_6_Covert
2652457,1879,1946,UP,Phase_6_Covert
2652461,1895,1981,UP,Phase_6_Covert
2652465,1893,1934,UP,Phase_6_Covert
2652469,1904,1934,UP,Phase_6_Covert
2652473,1904,1904,UP,Phase_6_Covert
2652477,1899,1860,UP,Phase_6_Covert
2652481,1903,1915,UP,Phase_6_Covert
2652485,1914,1983,UP,Phase_6_Covert
2652489,1918,1984,UP,Phase_6_Covert
2652493,1918,1963,UP,Phase_6_Covert
2652497,1909,1904,UP,Phase_6_Covert
2652501,1899,1871,UP,Phase_6_Covert
2652505,1904,1952,UP,Phase_6_Covert
2652509,1930,2070,UP,Phase_6_Covert
2652513,1926,2135,UP,Phase_6_Covert
2652517,1921,2147,UP,Phase_6_Covert
2652521,1926,2143,UP,Phase_6_Covert
2652525,1931,2155,UP,Phase_6_Covert
2652529,1925,2103,UP,Phase_6_Covert
2652533,1927,2066,UP,Phase_6_Covert
2652537,1922,2070,UP,Phase_6_Covert
2652541,1918,2096,UP,Phase_6_Covert
2652545,1917,2116,UP,Phase_6_Covert
2652549,1915,2114,UP,Phase_6_Covert
2652553,1910,2098,UP,Phase_6_Covert
2652557,1918,2144,UP,Phase_6_Covert
2652561,1927,2149,UP,Phase_6_Covert
2652565,1923,2096,UP,Phase_6_Covert
2652569,1927,2046,UP,Phase_6_Covert
2652573,1922,2037,UP,Phase_6_Covert
2652577,1911,2092,UP,Phase_6_Covert
2652581,1925,2130,UP,Phase_6_Covert
2652585,1930,2144,UP,Phase_6_Covert
2652589,1934,2080,UP,Phase_6_Covert
2652593,1927,2031,UP,Phase_6_Covert
2652597,1931,1988,UP,Phase_6_Covert
2652601,1936,2022,UP,Phase_6_Covert
2652605,1937,2035,UP,Phase_6_Covert
2652609,1939,2058,UP,Phase_6_Covert
2652613,1942,2063,UP,Phase_6_Covert
2652617,1953,2092,UP,Phase_6_Covert
2652621,1936,2135,UP,Phase_6_Covert
2652625,1925,2096,UP,Phase_6_Covert
2652629,1919,2045,UP,Phase_6_Covert
2652633,1923,2032,UP,Phase_6_Covert
2652637,1927,2031,UP,Phase_6_Covert
2652641,1919,2047,UP,Phase_6_Covert
2652645,1916,2080,UP,Phase_6_Covert
2652649,1913,2079,UP,Phase_6_Covert
2652653,1918,2065,UP,Phase_6_Covert
2652657,1920,2053,UP,Phase_6_Covert
2652661,1916,2025,UP,Phase_6_Covert
2652665,1926,2015,UP,Phase_6_Covert
2652669,1913,2022,UP,Phase_6_Covert
2652673,1919,2064,UP,Phase_6_Covert
2652677,1915,2047,UP,Phase_6_Covert
2652681,1921,2000,UP,Phase_6_Covert
2652685,1902,1943,UP,Phase_6_Covert
2652689,1901,1942,UP,Phase_6_Covert
2652693,1923,1977,UP,Phase_6_Covert
2652697,1932,2025,UP,Phase_6_Covert
2652701,1930,2014,UP,Phase_6_Covert
2652705,1926,1991,UP,Phase_6_Covert
2652709,1925,1956,UP,Phase_6_Covert
2652713,1936,1965,UP,Phase_6_Covert
2652717,1943,1954,UP,Phase_6_Covert
2652721,1951,1959,UP,Phase_6_Covert
2652725,1935,1939,UP,Phase_6_Covert
2652729,1936,1948,UP,Phase_6_Covert
2652733,1937,1943,UP,Phase_6_Covert
2652737,1929,1949,UP,Phase_6_Covert
2652741,1925,1963,UP,Phase_6_Covert
2652745,1929,2007,UP,Phase_6_Covert
2652749,1925,2000,UP,Phase_6_Covert
2652753,1906,2001,UP,Phase_6_Covert
2652757,1915,1984,UP,Phase_6_Covert
2652761,1920,1944,UP,Phase_6_Covert
2652765,1921,1957,UP,Phase_6_Covert
2652769,1922,2000,UP,Phase_6_Covert
2652773,1930,2021,UP,Phase_6_Covert
2652777,1939,2014,UP,Phase_6_Covert
2652781,1963,1945,UP,Phase_6_Covert
2652785,1953,1927,UP,Phase_6_Covert
2652789,1965,1931,UP,Phase_6_Covert
2652793,1964,2032,UP,Phase_6_Covert
2652797,1958,2118,UP,Phase_6_Covert
2652801,1951,2000,UP,Phase_6_Covert
2652805,1948,1825,UP,Phase_6_Covert
2652809,1941,1749,UP,Phase_6_Covert
2652813,1951,1808,UP,Phase_6_Covert
2652817,1950,1851,UP,Phase_6_Covert
2652821,1953,1892,UP,Phase_6_Covert
2652825,1942,1898,UP,Phase_6_Covert
2652829,1944,1853,UP,Phase_6_Covert
2652833,1937,1791,UP,Phase_6_Covert
2652837,1938,1747,UP,Phase_6_Covert
2652841,1943,1771,UP,Phase_6_Covert
2652845,1936,1776,UP,Phase_6_Covert
2652849,1908,1747,UP,Phase_6_Covert
2652853,1875,1639,UP,Phase_6_Covert
2652857,1851,1574,UP,Phase_6_Covert
2652861,1820,1603,UP,Phase_6_Covert
2652865,1808,1643,UP,Phase_6_Covert
2652869,1813,1699,UP,Phase_6_Covert
2652873,1824,1734,UP,Phase_6_Covert
2652877,1855,1734,UP,Phase_6_Covert
2652881,1869,1717,UP,Phase_6_Covert
2652885,1882,1699,UP,Phase_6_Covert
2652889,1892,1709,UP,Phase_6_Covert
2652893,1902,1714,UP,Phase_6_Covert
2652897,1917,1730,UP,Phase_6_Covert
2652901,1919,1740,UP,Phase_6_Covert
2652905,1917,1744,UP,Phase_6_Covert
2652909,1918,1734,UP,Phase_6_Covert
2652913,1919,1728,UP,Phase_6_Covert
2652917,1927,1731,UP,Phase_6_Covert
2652921,1931,1744,UP,Phase_6_Covert
2652925,1934,1744,UP,Phase_6_Covert
2652929,1936,1737,UP,Phase_6_Covert
2652933,1938,1747,UP,Phase_6_Covert
2652937,1915,1743,UP,Phase_6_Covert
2652941,1935,1759,UP,Phase_6_Covert
2652945,1934,1787,UP,Phase_6_Covert
2652949,1939,1794,UP,Phase_6_Covert
2652953,1947,1811,UP,Phase_6_Covert
2652957,1951,1795,UP,Phase_6_Covert
2652961,1954,1780,UP,Phase_6_Covert
2652965,1945,1777,UP,Phase_6_Covert
2652969,1939,1771,UP,Phase_6_Covert
2652973,1943,1776,UP,Phase_6_Covert
2652977,1954,1773,UP,Phase_6_Covert
2652981,1945,1766,UP,Phase_6_Covert
2652985,1929,1759,UP,Phase_6_Covert
2652989,1937,1759,UP,Phase_6_Covert
2652993,1936,1755,UP,Phase_6_Covert
2652997,1937,1764,UP,Phase_6_Covert
2653001,1940,1783,UP,Phase_6_Covert
2653005,1941,1791,UP,Phase_6_Covert
2653009,1923,1781,UP,Phase_6_Covert
2653013,1939,1771,UP,Phase_6_Covert
2653017,1937,1769,UP,Phase_6_Covert
2653021,1937,1776,UP,Phase_6_Covert
2653025,1938,1792,UP,Phase_6_Covert
2653029,1941,1801,UP,Phase_6_Covert
2653033,1945,1795,UP,Phase_6_Covert
2653037,1938,1819,UP,Phase_6_Covert
2653041,1936,1815,UP,Phase_6_Covert
2653045,1936,1810,UP,Phase_6_Covert
2653049,1940,1808,UP,Phase_6_Covert
2653053,1949,1808,UP,Phase_6_Covert
2653057,1946,1808,UP,Phase_6_Covert
2653061,1940,1809,UP,Phase_6_Covert
2653065,1937,1805,UP,Phase_6_Covert
